file_name,step_name,success,tokens,latency_ms,data_keys,validation_issues,error
Custom.MEXX.Report.ZEN.DischargeSummary6.cls.pdf,demographics_extractor,true,2996,18045,name | mrn | age | gender | admission_date | discharge_date | confidence_notes | sources,0,
Custom.MEXX.Report.ZEN.DischargeSummary6.cls.pdf,risk_scores_extractor,true,3089,18947,fall_risk | dvt_risk | pressure_ulcer_risk | aspiration_risk | ews_score | gcs | validation_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary6.cls.pdf,,true,3011,14407,bp | pulse | temperature | resp_rate | spo2 | pain_score | grbs | abnormal_flags,0,
Custom.MEXX.Report.ZEN.DischargeSummary6.cls.pdf,,true,2767,7745,functional_status | overall_assistance_needs | mobility_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary6.cls.pdf,,true,2806,13601,diagnosis | allergies | medications | investigations | nursing_needs,0,
Custom.MEXX.Report.ZEN.DischargeSummary6.cls.pdf,cross_validator,true,462,18477,validation_summary | parser_note,0,
Custom.MEXX.Report.ZEN.DischargeSummary7.cls.pdf,,true,3166,18502,document_type | sections_identified | confidence | extraction_strategy,0,
Custom.MEXX.Report.ZEN.DischargeSummary7.cls.pdf,demographics_extractor,true,3308,20939,name | mrn | age | gender | admission_date | discharge_date | confidence_notes | sources,0,
Custom.MEXX.Report.ZEN.DischargeSummary7.cls.pdf,risk_scores_extractor,true,3341,17971,fall_risk | dvt_risk | pressure_ulcer_risk | aspiration_risk | ews_score | gcs | validation_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary7.cls.pdf,,true,3325,17212,bp | pulse | temperature | resp_rate | spo2 | pain_score | grbs | abnormal_flags,0,
Custom.MEXX.Report.ZEN.DischargeSummary7.cls.pdf,,true,3028,7343,functional_status | overall_assistance_needs | mobility_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary7.cls.pdf,,true,3501,39518,diagnosis | allergies | medications | investigations | nursing_needs,0,
Custom.MEXX.Report.ZEN.DischargeSummary7.cls.pdf,cross_validator,true,447,17362,validation_summary | parser_note,0,
Custom.MEXX.Report.ZEN.DischargeSummary8.cls.pdf,,true,2809,16802,document_type | sections_identified | confidence | extraction_strategy,0,
Custom.MEXX.Report.ZEN.DischargeSummary8.cls.pdf,demographics_extractor,true,2977,20856,name | mrn | age | gender | admission_date | discharge_date | confidence_notes | sources,0,
Custom.MEXX.Report.ZEN.DischargeSummary8.cls.pdf,risk_scores_extractor,true,3019,18217,fall_risk | dvt_risk | pressure_ulcer_risk | aspiration_risk | ews_score | gcs | validation_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary8.cls.pdf,,true,2949,14372,bp | pulse | temperature | resp_rate | spo2 | pain_score | grbs | abnormal_flags,0,
Custom.MEXX.Report.ZEN.DischargeSummary8.cls.pdf,,true,2699,7212,functional_status | overall_assistance_needs | mobility_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary8.cls.pdf,,true,3007,29880,diagnosis | allergies | medications | investigations | nursing_needs,0,
